GROUPNAME,,Rule ID,Level,SID,PCRE2,DESCRIPTION,GROUP,,
syslog,named,12100,0,named, Grouping of the named rules],,,,
,,12101,12,12100, dropping source port zero packet from, Invalid DNS packet. Possibility of attack., invalid_access,,
,,12102,9,12100, denied AXFR from, Failed attempt to perform a zone transfer., access_denied,,
,,12103,4,12100, denied update from|unapproved update from, DNS update denied. , Generally mis-configuration.," <info type=""link"">http://seclists.org/incidents/2000/May/217</info>", client_misconfig
,,12104,4,12100, unable to rename log file, Log permission misconfiguration in Named., system_error,,
,,12105,4,12100, unexpected RCODE , Unexpected error while resolving domain.],,,
,,12106,4,12100, refused notify from non-master, DNS configuration error.],,,
,,12107,0,12100, update \S+ denied, DNS update using RFC2136 Dynamic protocol.],,,
,,12108,5,12100, query \(cache\) denied|: query \(cache\), Query cache denied (probably config error).," <info type=""link"">http://www.reedmedia.net/misc/dns/errors.html</info>", connection_attempt,
,,12109,12,12100, exiting \(due to fatal error\), Named fatal error. DNS service going down., service_availability,,
,,12110,8, [^zone \S+ serial number \S+ received from master , \S+ \S ours (\S+), Serial number from master is lower , than stored., system_error,
,,12111,8, [^transfer of \S+ from \S+ failed while receiving \S+ REFUSED, Unable to perform zone transfer., system_error,,,
,,12112,4, [^zone \S+: expired, Zone transfer error.],,,,
,,12113,0,12100, zone transfer deferred due to quota, Zone transfer deferred.],,,
,,12114,1,12100, bad owner name \(check-names\), Hostname contains characters that check-names does not like.],,,
,,12115,0,12100, loaded serial|transferred serial, Zone transfer.],,,
,,12116,1,12100, syntax error near|, reloading configuration failed: unexpected token, Syntax error in a named configuration file.],,
,,12117,1,12100, refresh: retry limit for master \S+ exceeded, Zone transfer rety limit exceeded],,,
,,12118,1,12100, already exists previous definition, Zone has been duplicated.],,,
,,12119,3,12100, starting BIND, BIND has been started],,,
,,12120,1,12100, has no address records, Missing A or AAAA record],,,
,,12121,1,12100, zone \S+: \(master\) removed, Zone has been removed from a master server],,,
,,12122,1,12100, loading from master file \S+ failed: not at top of zone$, Origin of zone and owner name of SOA do not match.],,,
,,12123,0,12100, already exists previous definition, Zone has been duplicated],,,
,,12125,3,12100, reloading configuration failed: unexpected end of input, BIND Configuration error.],,,
,,12126,0,12100, zone \S+: \(master\) removed, Zone has been removed from a master server],,,
,,12127,1,12100, loading from master file \S+ failed: not at top of zone$, Origin of zone and owner name of SOA do not match.],,,
,,12128,1,12100, ^transfer of|, AXFR started$, Zone transfer.],,
,,12129,4,12128, failed to connect: connection refused, Zone transfer failed, unable to connect to master.],,
,,12130,2,12100, IPv6 interfaces failed, Could not listen on IPv6 interface.],,,
,,12131,2,12100, failed; interface ignored, Could not bind to an interface.],,,
,,12132,0,12128, failed while receiving responses: not authoritative, Master is not authoritative for zone.],,,
,,12133,4,12100, open: \S+: permission denied$, Could not open configuration file, permission denied.],,
,,12134,4,12100, loading configuration: permission denied, Could not open configuration file, permission denied.],,
,,12135,0,12100, IN SOA -E, Domain in SOA -E.],,,
,,12136,4,12128, failed to connect: host unreachable, Master appears to be down.],,,
,,12137,0,12100, IN AXFR -, Domain is queried for a zone transferred.],,,
,,12138,0,12100,  IN A \+, Domain A record found.],,,
,,12139,3,12100, client \S+: bad zone transfer request: \S+: non-authoritative zone \(NOTAUTH\), Bad zone transfer request.],,,
,,12140,2,12100, refresh: failure trying master, Cannot refresh a domain from the master server.],,,
,,12141,1,12100, SOA record not at top of zone, Origin of zone and owner name of SOA do not match.],,,
,,12142,0,12100, command channel listening on, named command channel is listening.],,,
,,12143,0,12100, automatic empty zone, named has created an automatic empty zone.],,,
,,12144,9,12100, reloading configuration failed: out of memory, Server does not have enough memory to reload the configuration.],,,
,,12145,1,12100, zone transfer \S+ denied, zone transfer denied],,,
,,12146,0,12100, error sending response: host unreachable$, Cannot send a DNS response.],,,
,,12147,0,12100, update forwarding .+ denied$, Cannot update forwarding domain.],,,
,,12148,0,12100, : parsing failed$, Parsing of a configuration file has failed.],,,
,,12149,10,12108, ,  Multiple query (cache) failures., connection_attempt,,
